TIPO;REGISTRO_SANITARIO;NOMBRE_COMERCIAL;"NOMBRE_GENERICO	";FORMA_FARMACEUTICA;CONCENTRACION;LABORATORIO;BAJO_LICENCIA;PARA_TERCEROS;PAIS_ORIGEN;EMPRESA_PROVEEDORA
NN;16779;COFIBRAN;SALVADO DE TRIGO;GRANULADO;178.6G;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COS.Y FARMQ.S.A. COFAR S.A.
NN;18268;SAL INGLESA;SULFATO DE MAGNESIO;GRANULADO;20G;LABORATORIO QUÍMICO FARMACÉUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LAB. QUÍMICO FARMACEUTICO IND.DELTA S.A.
NN;18312;HIDRODERM CREMA 20%;UREA;CREMA;20%;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;18649;YODAN COMPUESTO VITA;"YODO RESUBLIMADO; SALICILATO DE METILO";POMADA;"5.20G; 1G";LABORATORIOS VITA S.A.;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;18981;ALCA  BOL;"PEPTONA; SULFATO DE MAGNESIO HEPTAHIDRTADO, AC. ACETIL SALICILCO, EXTRACTO FLUIDO DE BOLDO, EXTRACTO FLUIDO DE ALCACHOFA";GRANULADO;"2,4G;30G;6G.../100G";LABORATORIOS VITA S.A.;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;18982;DIGESTAN COMPUESTO;"PARACETAMOL;DIASTASA;SUBNITRATO DE BI,CARB.CA.....";POLVO;"13,1.3;1.3;5.2;73.9G";LABORATORIOS VITA S.A;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;18990;GLUCOSAMIN 12;"VITAMINA B1,B6;B12;DEXTROSA";POLVO;"7,5MG;4.5MG;15MCG;15";LABORATORIOS VITA S.A.;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;18991;MIEL DE ABEJAS Y EUCALIPTUS;VER FORMULA;JARABE;VER FORMULA;LABORATORIOS VITA S.A;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;19374;JALEA DE VASELINA;PETROLATO BLANCO (VASELINA);JALEA;100 %;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;19498;SALICILOMENTOL UNGÜENTO;SALICILATO DE METILO-MENTOL-ALCANFOR;UNGUENTO;4%;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;19888;VITANASAL ADULTOS 0,05%;CLORHIDRATO DE OXIMETAZOLINA;GOTAS NASALES;0.05G/100ML;LABORATORIOS VITA S.A.;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;20069;PARACETAMOL;PARACETAMOL;JARABE;250 MG/5 ML;LAB. QUIMICO FARMACEUTICO IND.DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;20273;NEUTRAVIT 2000;MAGALDRATO;SUSPENSIÓN;2000MG /12.5 ml;LABORATORIOS VITA S.A.;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;20479;VITAMINA C;ACIDO ASCORBICO;GRANULADO;2G;LAB. QUIMICO FARMACEUTICO IND.DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;20481;BACITRACINA NEOMICINA;"BACITRACINA ZINC; NEOMICINA SULFATO";POMADA;500 UI+5 MG/5G;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;20482;CLOTRIMAZOL 1%;CLOTRIMAZOL;CREMA;1 %;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;20570;SARNOL 20%;BENZOATO DE BENCILO;"LOCION	";20%;LABORATORIO I.F.A. S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;20636;PARACETAMOL 120MG;PARACETAMOL;JARABE;120MG;LABORATORIOS I.F.A. S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;20689;TOSALCOS EXTRA FUERTE 10MG;DEXTROMETORFANO BROMHIDRATO;PASTILLA;10 mg;LA ESTRELLA S.R.L.;/;GRUPO ALCOS S.A. ( DIV.LABORATORIOS ALCOS );BOLIVIA;GRUPO ALCOS S.A.
II;20692;TAPSIN  INFANTIL 100 MG/ML - GOTAS;PARACETAMOL;SOLUCION ORAL;100MG/ML;LABORATORIO MAVER S.A.;/;/;CHILE;CAMSA INDUSTRIA Y COMERCIO S.A.
II;21046;CHROMIUM PICOLINATE 200MCG;PICOLINATO DE CROMO;TABLETA;200MCG;MASON VITAMINS INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;21145;PICOBERYL®;PICOSULFATO DE SODIO;CÁPSULA;5 mg;DAE HWA PHARMACEUTICAL CO.,LTD;/;/;COREA, REPUBLICA DE;SANT DRUG S.R.L.
NN;21149;FLAVICOLIN®;CLORFE., DEXTRO.,PARACETAMOL, PSEUDOEFEDRINA;GRANULADO;VARIAS;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A. COFAR S.A;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
NN;21339;NENE;OXIDO DE ZINC / ALANTOINA/ CLORURO DE BENZALCONIO;UNGUENTO;"10%; 0,2%; 0,05%";LABORATORIOS INDUSTRIAL FARMACEUTICOS FARCOS LTDA.;/;/;BOLIVIA;LAB. INDUSTRIAL FARMACEUTICOS FARCOS LTDA.
NN;21438;SUPOSITORIO DE GLICERINA ADULTO;GLICERINA;SUPOSITORIO;90%;LABORATORIO QUÍMICO FARMACEUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;21439;SUPOSITORIO LARGO DE GLICERINA;GLICERINA;SUPOSITORIO;90%;LABORATORIO QUÍMICO FARMACEUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;21514;ACICLOVIR;ACICLOVIR;CREMA;5%;LABORATORIOS CRESPAL S.A.;/;/;BOLIVIA;LABORATORIOS CRESPAL S.A.
NN;21642;KETOCONAZOL 2%;KETOCONAZOL;CREMA DÉRMICA;2G/100G;LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;21777;ANGIDOL®;VER FÓRMULA;PASTILLA;"2MG;1MG;2MG;3MG;1MG";FABRICA LA ESTRELLA S.A.;/;DROGUERIA INTI S.A.;BOLIVIA;DROGUERIA INTI S.A.
II;21902;CALCIUM, MAGNESIUM & ZINC;"CALCIO; MAGNESIO; ZINC";TABLETA;"334MG;134MG; 5MG";MASON VITAMINS INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;21903;VITAMINA E-450MG (1000 IU);DL-ALPHA TOCOFERILO ACETATO;CAPSULA BLANDA;1000 UI;MASON VITAMINS INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;21905;VITAMIN A 10,000 IU FROM FISH LIVER OIL;VITAMINA A (PALMITATO DE RETINOL Y ACEITE DE HIGADO DE BACALAO);CÁPSULA BLANDA;3.000MCG (10000UI);MASON VITAMINS, INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
NN;21989;HELLER®;ÁCIDO SALICILICO;SOLUCIÓN TÓPICA;12,5G/100G(12,5%);LABORATORIOS ALFA S.A.;/;/;BOLIVIA;LABORATORIOS ALFA S.A.
II;22001;PARACETAMOL;PARACETAMOL;COMPRIMIDO;500MG;MEDICAL INTERNACIONAL LABORATORIES CO. S.A.(MINTLAB CO. S.A.);/;/;CHILE;RAICES IMPORT EXPORT LTDA.
II;22056;FLORESTOR ®;SACCHAROMYCES BOULARDII CNCM I-745;POLVO;250MG;BIOCODEX;/;DROGUERÍA INTI S.A.;FRANCIA;DROGUERIA INTI S.A.
NN;22073;RIN CHIQUITO  100MG;ÁCIDO ACETIL SALICÍLICO;COMPRIMIDO;100MG;LABORATORIOS VITA SA.;/;/;BOLIVIA;LABORATORIOS VITA S.A.
NN;22094;CARBOCITRATO DE CALCIO - ALFA®;CALCIO CARBONATO;GRANULADO EFERVESCENTE;500MG;LABORATORIOS ALFA S.A. ;/;/;BOLIVIA;LABORATORIOS ALFA S.A.
II;22176;VITAMIN C 1000 MG;ACIDO ASCORBICO;TABLETA;1000MG;MASON VITAMINS, INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
II;22177;VITAMIN E 180MG (400UI);DL-ALFA TOCOFEROL ACETATO;CÁPSULA BLANDA;180MG(400UI);MASON VITAMINS. INC.;/;/;ESTADOS UNIDOS;MEGA VIT S.R.L.
NN;22183;VITAMINA C;ACIDO ASCORBICO;COMPRIMIDO MASTICABLE;100MG;LABORATORIO QUÍMICO FARMACÉUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S.A.
NN;22288;CLOTRIM ® 2% TALCO;CLOTRIMAZOL;POLVO;2%(2G/100G);LABORATORIOS IFA S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
NN;22290;IFASAN ® 10%;ÁCIDO SALICÍLICO;LOCION;3 G/ 30 ML;LABORATORIOS I.F.A. S.A.;/;/;BOLIVIA;LABORATORIOS IFA S.A.
II;22337;PARACETAMOL;PARACETAMOL;COMPRIMIDO;500 MG;VARDHMAN EXPORTS;/;/;INDIA;LAQFAGAL FARMA INDUSTRIA S.R.L.
NN;22347;PARACETAMOL INFANTIL;PARACETAMOL;SUPOSITORIO;250MG;LABORATORIO QUIMICO FARMACÉUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LABORATORIO QUÍMICO FARMACÉUTICO IND. DELTA S
NN;22554;TÓNICO INTI;VER FÓRMULA;JARABE;VER FÓRMULA;DROGUERÍA INTI S.A.;/;/;BOLIVIA;DROGUERIA INTI S.A.
NN;22645;BONAGEL;"HIDROXIDO DE ALUMINIO; HIDROXIDO DE MAGNESIO";SUSPENSIÓN;"200MG; 200MG/ 5ml";LABORATORIOS DE COSMÉTICA Y FARMOQUÍMICA S.A. COFAR S.A.;/;/;BOLIVIA;LABORATORIOS DE COSMETICA Y FARMOQUIMICA S.A.
NN;22657;COMPLEJO B;TIAMINA + PIRIDOXINA + HIDROXICOBALAMINA;COMPRIMIDO RECUBIERTO;"2MG;2MG;0,05MG";LABORATORIO QUÍMICO FARMACEUTICO INDUSTRIAL DELTA S.A.;/;/;BOLIVIA;LAB. QUÍMICO FARMACEUTICO IND.DELTA S.A.
